ID,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Medium for online class,Time spent on self study,Time spent on fitness,Time spent on sleep,Time spent on social media,Time spent on TV,Number of meals per day,Change in your weight,Health issue during lockdown,Stress busters,Time utilized,"Do you find yourself more connected with your family, close friends , relatives  ?",What you miss the most
R153,15,4.0,Average,Smartphone,7.0,2.0,6.0,1.0,1,4,Remain Constant,NO,Listening to music,YES,YES,"Friends , relatives"
R154,20,5.0,Very poor,Tablet,3.0,1.0,8.0,2.0,3,4,Increased,NO,Listening to music,NO,NO,Roaming around freely
R155,21,1.0,Very poor,Smartphone,3.0,0.0,6.0,1.0,1,1,Decreased,YES,Reading books,NO,YES,Eating outside
R156,19,0.5,Very poor,Smartphone,7.0,2.0,7.0,0.1,0,4,Remain Constant,YES,Listening to music,YES,YES,"Friends , relatives"
R157,20,3.0,Very poor,Laptop/Desktop,1.0,0.0,6.0,2.0,0,2,Increased,NO,pubg,NO,YES,Eating outside
R158,21,5.0,Average,Smartphone,1.0,0.0,5.0,1.0,0,2,Decreased,NO,Online gaming,NO,NO,Travelling
R159,21,4.0,Excellent,Laptop/Desktop,6.0,2.0,6.0,1.0,1,3,Remain Constant,NO,Cooking,YES,YES,Eating outside
R160,21,3.0,Very poor,Smartphone,2.0,0.0,7.0,2.0,0,3,Increased,YES,Reading books,NO,YES,School/college
R161,20,4.0,Average,Laptop/Desktop,2.0,0.0,7.0,2.0,4,3,Increased,NO,Online gaming,NO,NO,"Friends , relatives"
R162,20,6.0,Very poor,Smartphone,3.0,0.0,8.0,4.0,2,3,Increased,YES,Sleep,NO,YES,School/college
R163,23,0.0,Very poor,Laptop/Desktop,1.0,0.0,10.0,4.0,0,4,Increased,NO,Online gaming,NO,YES,Travelling
R164,21,4.0,Very poor,Smartphone,3.0,1.0,8.0,1.0,1,3,Remain Constant,YES,Online surfing,NO,YES,"Friends , relatives"
R165,22,1.0,Very poor,Smartphone,4.0,1.0,7.0,2.0,0,2,Increased,YES,Watching web series,NO,NO,Roaming around freely
R166,23,3.0,Good,Tablet,0.0,0.0,12.0,4.0,0,2,Increased,NO,Cooking,NO,NO,Travelling
R167,22,4.0,Good,Smartphone,4.0,0.5,8.0,2.0,0,3,Increased,NO,Sleeping,YES,NO,School/college
R168,21,0.0,Very poor,Smartphone,1.0,0.0,7.0,10.0,0,7,Increased,NO,Listening to music,NO,YES,School/college
R169,20,0.0,Very poor,Smartphone,3.0,2.0,12.0,1.0,0,3,Increased,NO,Scrolling through social media,NO,NO,School/college
R170,15,4.0,Average,Smartphone,2.0,3.0,7.0,1.0,2,4,Increased,NO,Online gaming,NO,YES,"Friends , relatives"
