age,online_class_time,class_rating,class_medium,self_study_time,sleep_time,social_media_time,time_utilized
21,0.0,Average,Laptop/Desktop,12.0,7.0,3.0,YES
20,0.0,Good,Smartphone,0.0,7.5,3.5,YES
21,4.0,Average,Laptop/Desktop,2.0,8.0,3.0,NO
20,3.0,Very poor,Smartphone,5.0,7.0,1.0,NO
16,4.0,Poor,Smartphone or Laptop/Desktop,2.5,6.0,0.5,YES
19,0.0,Very poor,Laptop/Desktop,8.0,8.0,2.0,YES
19,1.0,Very poor,Laptop/Desktop,3.0,8.0,3.0,YES
19,1.0,Excellent,Laptop/Desktop,1.0,9.0,2.0,NO
20,2.0,Good,Laptop/Desktop,1.0,10.0,1.0,NO
19,2.0,Average,Smartphone,3.0,9.0,3.0,NO
17,7.0,Average,Laptop/Desktop,2.0,6.0,2.0,YES
21,0.0,Very poor,Laptop/Desktop,2.0,8.0,3.0,NO
17,6.0,Good,Smartphone,4.0,7.0,1.0,YES
25,5.0,Average,Laptop/Desktop,6.0,8.0,1.0,YES
19,3.0,Average,Laptop/Desktop,6.0,8.0,0.6,YES
16,5.0,Very poor,Smartphone,2.0,8.0,2.0,NO
17,7.0,Good,Smartphone,5.0,7.0,2.0,NO
18,1.0,Average,Smartphone,2.0,10.0,1.0,NO
20,5.0,Excellent,Laptop/Desktop,1.0,8.0,3.0,YES
20,3.0,Very poor,Laptop/Desktop,9.0,6.0,1.0,NO
20,1.0,Very poor,Laptop/Desktop,3.0,9.0,4.0,YES
22,3.0,Average,Smartphone,3.0,8.0,2.0,NO
16,7.0,Excellent,Tablet,2.0,6.0,2.0,YES
19,2.0,Very poor,Laptop/Desktop,1.0,7.0,5.0,NO
17,9.0,Average,Laptop/Desktop,5.0,6.0,1.0,YES
20,0.0,Average,Laptop/Desktop,1.0,9.0,5.0,YES
21,0.0,Very poor,Laptop/Desktop,6.0,6.0,4.0,NO
19,2.0,Very poor,Laptop/Desktop,3.0,8.0,1.0,YES
17,8.0,Very poor,Smartphone,2.0,9.0,0.0,NO
25,1.0,Average,Laptop/Desktop,3.0,7.0,3.0,NO
20,3.0,Average,Smartphone,2.0,8.0,3.0,NO
19,5.0,Excellent,Smartphone,5.0,7.0,2.0,NO
23,5.0,Average,Smartphone,5.0,8.0,1.0,YES
22,2.0,Average,Laptop/Desktop,8.0,8.0,2.0,YES
22,4.0,Average,Laptop/Desktop,1.0,8.0,4.0,YES
21,3.0,Average,Laptop/Desktop,3.0,6.5,2.0,NO
22,1.0,Average,Smartphone,3.0,8.0,1.0,NO
24,3.0,Very poor,Laptop/Desktop,4.0,6.0,3.0,NO
14,3.0,Average,Tablet,6.0,7.0,3.0,YES
16,4.0,Very poor,Smartphone,3.0,8.0,4.0,YES
19,1.0,Average,Laptop/Desktop,3.0,7.0,1.0,NO
21,5.0,Very poor,Laptop/Desktop,3.0,10.0,6.0,YES
17,2.0,Average,Laptop/Desktop,5.0,8.0,4.0,YES
16,4.0,Good,Smartphone,2.0,9.0,1.0,NO
29,8.0,Good,Laptop/Desktop,2.0,8.0,0.5,NO
26,1.0,Good,Laptop/Desktop,4.0,6.0,6.0,NO
21,5.0,Very poor,Smartphone,2.0,12.0,2.0,YES
18,0.0,Very poor,Smartphone,0.0,7.0,6.0,YES
19,3.0,Very poor,Smartphone,0.0,12.0,5.0,NO
21,2.0,Average,Laptop/Desktop,2.0,10.0,2.0,YES
12,1.0,Good,Laptop/Desktop,3.0,8.0,2.0,YES
26,0.0,Very poor,Smartphone,1.0,7.0,1.0,NO
20,6.0,Very poor,Laptop/Desktop,6.0,6.0,3.0,NO
16,4.0,Very poor,Smartphone,2.0,9.0,2.0,NO
21,0.0,Average,Laptop/Desktop,2.0,10.0,5.0,YES
21,5.0,Average,Laptop/Desktop,2.0,8.0,0.5,NO
20,6.0,Average,Laptop/Desktop,4.0,7.0,1.0,YES
21,0.0,Very poor,Laptop/Desktop,2.0,7.0,1.0,YES
21,2.0,Average,Smartphone,2.0,7.0,1.0,YES
19,1.0,Very poor,Laptop/Desktop,0.0,12.0,10.0,NO
21,2.0,Average,Laptop/Desktop,2.0,8.0,2.0,NO
14,5.0,Average,Smartphone,2.3,8.0,2.0,YES
22,1.0,Average,Laptop/Desktop,2.0,11.0,3.0,NO
19,2.0,Average,Smartphone,2.5,9.0,2.0,NO
18,4.0,Average,Smartphone,1.0,12.0,1.0,NO
16,8.0,Average,Laptop/Desktop,6.0,6.0,1.0,YES
43,2.0,Average,Smartphone,0.0,6.0,2.0,NO
15,4.0,Very poor,Tablet,10.0,8.0,1.0,NO
32,1.0,Very poor,Laptop/Desktop,10.0,8.0,2.0,YES
15,3.0,Good,Laptop/Desktop,3.0,7.0,1.0,YES
21,3.0,Average,Laptop/Desktop,3.0,8.0,2.0,NO
15,5.0,Average,Smartphone,3.0,8.0,3.0,YES
34,2.0,Average,Laptop/Desktop,3.0,7.0,2.0,YES
17,0.75,Average,Smartphone,5.0,6.0,2.0,NO
12,1.0,Excellent,Smartphone,2.0,9.0,2.0,YES
16,1.0,Average,Smartphone,2.0,7.0,2.0,NO
17,7.0,Average,Laptop/Desktop,8.0,6.0,1.0,YES
14,2.5,Good,Smartphone,1.0,6.0,2.0,YES
16,4.0,Average,Smartphone,5.0,6.0,2.0,YES
13,2.0,Excellent,Smartphone,1.0,11.0,3.0,NO
23,0.0,Average,Laptop/Desktop,2.0,7.0,3.0,YES
21,6.0,Very poor,Smartphone,0.0,7.0,4.0,YES
31,4.0,Excellent,Laptop/Desktop,2.0,8.0,1.0,YES
23,5.0,Excellent,Smartphone,1.0,9.0,2.0,YES
13,1.0,Excellent,Smartphone,5.0,6.0,2.0,YES
21,3.0,Average,Laptop/Desktop,0.0,8.0,3.0,NO
23,3.0,Good,Laptop/Desktop,3.0,7.0,2.0,NO
20,1.0,Average,Laptop/Desktop,2.5,6.0,4.0,YES
13,0.5,Average,Smartphone,2.0,10.0,2.0,YES
14,2.0,Excellent,Smartphone,1.0,8.0,1.0,YES
40,1.0,Average,Laptop/Desktop,2.0,6.0,4.0,NO
12,1.0,Excellent,Smartphone,1.2,10.0,0.0,YES
20,3.0,Very poor,Laptop/Desktop,2.0,8.0,4.0,NO
12,1.0,Good,Smartphone,2.0,8.0,2.0,NO
21,3.0,Average,Laptop/Desktop,3.0,8.0,2.0,NO
42,4.0,Good,Laptop/Desktop,3.0,7.0,1.0,YES
20,3.0,Good,Smartphone,4.0,7.0,4.0,NO
23,3.0,Good,Smartphone,1.0,6.0,2.0,NO
12,2.0,Excellent,Smartphone,2.0,10.0,1.0,YES
17,2.0,Excellent,Smartphone,3.0,6.0,2.0,YES
18,1.0,Average,Laptop/Desktop,1.0,8.0,4.0,YES
20,1.0,Average,Laptop/Desktop,2.0,9.0,4.0,YES
17,5.0,Average,Smartphone,3.0,6.0,1.0,YES
20,1.0,Average,Laptop/Desktop,4.0,8.0,3.0,NO
20,3.0,Very poor,Laptop/Desktop,4.0,8.0,2.0,YES
19,0.75,Poor,Laptop/Desktop,2.0,6.0,4.0,NO
20,4.0,Good,Laptop/Desktop,2.0,11.0,1.0,NO
16,2.0,Excellent,Smartphone,5.0,8.0,4.0,YES
13,3.0,Excellent,Smartphone,2.0,8.0,1.0,YES
20,0.0,Good,Laptop/Desktop,4.0,7.0,4.0,NO
14,3.0,Excellent,Smartphone,2.0,10.0,1.0,NO
17,2.0,Good,Smartphone,1.0,8.0,3.0,YES
20,1.0,Very poor,Laptop/Desktop,1.0,12.0,2.0,NO
17,7.0,Excellent,Smartphone,1.0,4.0,1.0,YES
13,2.0,Excellent,Smartphone,1.0,6.0,2.0,YES
13,1.0,Good,Smartphone,2.0,8.0,3.0,YES
20,2.0,Very poor,Laptop/Desktop,4.0,8.0,2.0,YES
27,0.0,Good,Laptop/Desktop,2.0,10.0,6.0,NO
20,1.0,Good,Laptop/Desktop,0.0,7.0,2.0,YES
20,5.0,Very poor,Laptop/Desktop,3.0,7.0,4.0,YES
17,4.0,Average,Smartphone,1.0,8.0,5.0,NO
27,3.0,Excellent,Laptop/Desktop,2.0,7.0,1.0,YES
9,1.0,Average,Laptop/Desktop,1.0,8.0,0.0,NO
14,5.0,Average,Smartphone,1.0,7.0,1.0,NO
36,2.0,Excellent,Tablet,3.0,7.0,5.0,NO
8,2.0,Excellent,Laptop/Desktop,2.0,8.0,1.0,YES
20,2.0,Average,Laptop/Desktop,1.0,7.0,1.0,YES
12,2.0,Average,Laptop/Desktop,1.0,7.0,2.0,YES
19,8.0,Excellent,Laptop/Desktop,10.0,6.0,1.0,YES
24,0.0,Excellent,Laptop/Desktop,3.0,8.0,3.0,YES
20,2.0,Average,Laptop/Desktop,2.0,8.0,3.0,YES
22,1.0,Very poor,Smartphone,3.0,7.0,3.0,NO
20,3.0,Very poor,Laptop/Desktop,0.0,9.0,4.0,NO
12,1.0,Excellent,Smartphone,3.0,6.0,1.0,NO
21,0.0,Very poor,Laptop/Desktop,1.0,6.0,6.0,NO
20,2.0,Average,Laptop/Desktop,3.0,7.0,3.0,YES
32,1.0,Average,Smartphone,0.0,14.0,2.0,NO
28,4.0,Good,Laptop/Desktop,4.0,12.0,2.0,YES
21,2.0,Very poor,Laptop/Desktop,0.0,12.0,5.0,NO
21,2.0,Average,Laptop/Desktop,2.0,8.0,2.0,YES
15,5.0,Average,Laptop/Desktop,3.0,10.0,3.0,YES
19,1.0,Very poor,Laptop/Desktop,0.0,9.0,8.0,NO
19,3.0,Very poor,Laptop/Desktop,1.0,5.0,1.0,NO
18,3.0,Very poor,Smartphone,2.0,8.0,2.0,NO
14,7.0,Very poor,Tablet,3.0,8.0,0.0,NO
18,1.0,Excellent,Smartphone,2.0,8.0,1.0,YES
50,2.0,Good,Smartphone,2.0,6.0,2.0,YES
20,0.7,Very poor,Laptop/Desktop,3.5,8.0,3.0,YES
16,2.0,Very poor,Laptop/Desktop,2.0,9.0,2.0,NO
13,2.0,Good,Smartphone,1.0,11.0,2.0,NO
20,3.0,Very poor,Laptop/Desktop,4.0,8.0,2.0,YES
21,0.0,Very poor,Laptop/Desktop,2.0,7.0,2.0,NO
14,3.0,Excellent,Laptop/Desktop,5.0,10.0,3.0,YES
20,0.0,Very poor,Laptop/Desktop,2.0,7.0,5.0,NO
22,3.0,Average,Laptop/Desktop,2.0,7.0,3.0,YES
13,0.75,Excellent,Smartphone,2.0,7.0,1.0,YES
13,3.0,Good,Smartphone,3.0,8.0,1.0,YES
16,6.0,Good,Smartphone,3.0,6.0,1.0,YES
35,4.0,Average,Smartphone,2.0,6.0,0.5,NO
45,3.0,Excellent,Laptop/Desktop,4.0,8.0,2.0,YES
16,0.0,Good,Smartphone,0.0,6.0,1.0,NO
20,4.0,Very poor,Laptop/Desktop,6.0,8.0,0.0,YES
21,0.0,Poor,Laptop/Desktop,9.0,7.0,2.0,YES
23,6.0,Average,Laptop/Desktop,4.0,9.0,1.0,NO
